Value of 'PDSCH RE Mapping and Quasi-Co-Location Indicator' field,Description
'00',Parameter set 1 configured by higher layers for codeword 0 and Parameter set 2 configured by higher layers for codeword 1 (if any)
'01',Parameter set 3 configured by higher layers for codeword 0 and Parameter set 4 configured by higher layers for codeword 1 (if any)
'10',Parameter set 5 configured by higher layers for codeword 0 and Parameter set 6 configured by higher layers for codeword 1 (if any)
'11',Parameter set 7 configured by higher layers for codeword 0 and Parameter set 8 configured by higher layers for codeword 1 (if any)
