Transmissionmode,Transmission scheme of PDSCH
1,"Single-antenna port, port 0"
2,Transmit diversity
3,"Transmit diversity if the associated rank indicator is 1, otherwise large delay CDD"
4,Closed-loop spatial multiplexing
5,Multi-user MIMO
6,Closed-loop spatial multiplexing with a single transmission layer
7,"If the number of PBCH antenna ports is one, Single-antenna port, port 0; otherwise Transmit diversity"
8,"If the UE is configured without PMI/RI reporting: if the number of PBCH antenna ports is one, single-antenna port, port 0; otherwise transmit diversity.If the UE is configured with PMI/RI reporting: closed-loop spatial multiplexing."
9,"For activated serving cells, and a non-BL/CE UE, if the UE is configured without PMI/RI reporting: if the number of PBCH antenna ports is one, single-antenna port, port 0; otherwise transmit diversity. For activated serving cells, and a non-BL/CE UE, if the UE is configured with PMI/RI reporting or without PMI reporting: if the number of CSI-RS ports is one, single-antenna port, port 7; otherwise up to 8 layer transmission, ports 7-14 (see Clause 7.1.5B). For activated serving cells, and a BL/CE UE, if the UE is not configured with periodic CSI reporting mode 1-1: if the number of PBCH antenna ports is one, single-antenna port, port 0; otherwise transmit diversity.For activated serving cells, and a BL/CE UE, if the UE is configured with periodic CSI reporting mode 1-1: if the number of PBCH antenna ports is one, single-antenna port, port 0; otherwise closed-loop spatial multiplexing with a single transmission layer.For dormant serving cells: if the number of PBCH antenna ports is one, single-antenna port, port 0; otherwise transmit diversity."
10,"For activated serving cells, if a CSI process of the UE is configured without PMI/RI reporting: if the number of CSI-RS ports is one, single-antenna port, port7; otherwise transmit diversity.For activated serving cells, and if a CSI process of the UE is configured with PMI/RI reporting or without PMI reporting: if the number of CSI-RS ports is one, single-antenna port, port 7; otherwise up to 8 layer transmission, ports 7-14 (see Clause 7.1.5B). For dormant serving cells: if the number of PBCH antenna ports is one, single-antenna port, port 0; otherwise transmit diversity."
