Number of ACK among multiple () HARQ-ACK responses,
0 or None (UE detect at least one DL assignment is missed),"0, 0"
1,"1, 1"
2,"1, 0"
3,"0, 1"
4,"1, 1"
5,"1, 0"
6,"0, 1"
7,"1, 1"
8,"1, 0"
9,"0, 1"
