DCI field 'Multi-TB HARQ-ACK bundling size',NTB=1,NTB=2,NTB=4,NTB=6,NTB=8
00,A1={TB0},A1=TB0A2=TB1,A1=TB0A2=TB1A3=TB2A4=TB3,A1=TB0A2=TB1A3=TB2A4=TB3A5=TB4A6=TB5,A1=TB0A2=TB1A3=TB2A4=TB3A5=TB4A6=TB5A7=TB6A8=TB7
01,-,"A1=TB0, TB1","A1=TB0, TB1A2=TB2, TB3","A1=TB0, TB1A2=TB2, TB3A3=TB4, TB5","A1=TB0, TB1A2=TB2, TB3A3=TB4, TB5A4=TB6, TB7"
10,-,-,"A1=TB0, TB1A2=TB2A3=TB3","A1=TB0, TB1,TB2A2=TB3, TB4,TB5","A1=TB0, TB1,TB2A2=TB3, TB4,TB5A3=TB6, TB7"
11,-,-,"A1=TB0, TB1,TB2, TB3","A1=TB0, TB1,TB2,TB3A2=TB4, TB5","A1=TB0, TB1,TB2,TB3A2=TB4, TB5,TB6,TB7"
