Value of schedulingInfoSIB1-BR,Number of PDSCH repetitions
0,N/A
1,4
2,8
3,16
4,4
5,8
6,16
7,4
8,8
9,16
10,4
11,8
12,16
13,4
14,8
15,16
16,4
17,8
18,16
19-31,Reserved
