RI,Relationship between the first PMI value and codebook index,,Relationship between the second PMI value and codebook index,,total
,Value of the first PMI,Codebook index,Value of the second PMI,Codebook index,#bits
1,0-3,,0-3,,4
2,0-3,,0-3,,4
3,0,0,0-15,,4
4,0,0,0-15,,4
