TDD UL/DLConfiguration,subframe number n,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9
1,,,3,3,,,,3,3,
2,,,3,,,,,3,,
3,,,3,3,3,,,,,
4,,,3,3,,,,,,
5,,,3,,,,,,,
6,,,6,4,4,,,6,3,
