,Value of MCRI,Value of
0    160ICRI,1,−ICRI
161    321ICRI,2,− ( – 161)ICRI
322    482ICRI,4,− (– 322)ICRI
483    643ICRI,8,− ( – 483)ICRI
644    804ICRI,16,− ( – 644)ICRI
805    965ICRI,32,− (– 805)ICRI
966    1023ICRI,Reserved,
