Transmission mode,DCI format,Search Space,Transmission scheme of PDSCH corresponding to SPDCCH
Mode 1,DCI format 7-1A,UE specific by C-RNTI,"Single-antenna port, port 0 (see Clause 7.1.1)"
Mode 2,DCI format 7-1A,UE specific by C-RNTI,Transmit diversity (see Clause 7.1.2)
Mode 3,DCI format 7-1B,UE specific by C-RNTI,Large delay CDD (see Clause 7.1.3)
Mode 4,DCI format 7-1C,UE specific by C-RNTI,Closed-loop spatial multiplexing (see Clause 7.1.4) or Transmit diversity (see Clause 7.1.2)
Mode 6,DCI format 7-1D,UE specific by C-RNTI,Closed-loop spatial multiplexing (see Clause 7.1.4) using a single transmission layer or Transmit diversity (see Clause 7.1.2)
Mode 8,DCI format 7-1E,UE specific by C-RNTI,"Dual layer transmission, port 7 and 8 (see Clause 7.1.5A) or single-antenna port, port 7 or 8 (see Clause 7.1.1) or Transmit Diversity, port 7 and port 8 (see Clause 7.1.2)"
Mode 9,DCI format 7-1F,UE specific by C-RNTI,"Transmit diversity, port 7-8, (see Clause 7.1.2), if UE is configured with higher layer parameter semiOpenLoopSTTI.Up to 2 layer transmission, ports 7-8 (see Clause 7.1.5B) or single-antenna port, port 7 or 8 (see Clause 7.1.1) or transmit diversity, port 7-8, (see Sublause 7.1.2) if the UE is configured with slotSubslotPDSCH-TXDiv-2layer-TM9/10 (3GPP TS 36.331 [11]).Up to 4 layer transmission, ports 7-10 (see Clause 7.1.5B) or single-antenna port, port 7 or 8 (see Clause 7.1.1) or transmit diversity, port 7-8 (see Clause 7.1.2) if the UE is configured with slotSubslotPDSCH-TXDiv-4layer-TM9/10 (3GPP TS 36.331 [11]).Up to 4 layer transmission, ports 7-10 (see Clause 7.1.5B) otherwise; or single-antenna port, port 7 or 8 (see Clause 7.1.1)."
Mode 10,DCI format 7-1G,UE specific by C-RNTI,"Transmit diversity, port 7-8, (see Clause 7.1.2), if UE is configured with higher layer parameter semiOpenLoopSTTI.Up to 2 layer transmission, port 7-8 (see Clause 7.1.5B) or single-antenna port, port 7 or 8 (see Clause 7.1.1) or transmit diversity, port 7-8 (see Clause 7.1.2) if the UE is configured with slotSubslotPDSCH-TXDiv-2layer-TM9/10 (3GPP TS 36.331 [11]).Up to 4 layer transmission, ports 7-10 (see Clause 7.1.5B) or single-antenna port, port 7 or 8 (See Clause 7.1.1) or transmit diversity, port 7-8 (see Clause 7.1.2) if the UE is configured with slotSubslot PDSCH-TXDiv-4layer-TM9/10 (3GPP TS 36.331 [11]).Up to 4 layer transmission, ports 7-10 (see Clause 7.1.5B) otherwise; or single-antenna port, port 7 or 8 (see Clause 7.1.1)."
