Abbreviation,Abbreviated word
Config,Configuration
DL,Downlink
Ext,Extension
Freq,Frequency
Id,Identity
Ind,Indication
Meas,Measurement
MIB,MasterInformationBlock
Neigh,Neighbour(ing)
Param(s),Parameter(s)
Phys,Physical
PCI,Physical Cell Id
Proc,Process
Reconfig,Reconfiguration
Reest,Re-establishment
Req,Request
Rx,Reception
Sched,Scheduling
SIB,SystemInformationBlock
Sync,Synchronisation
Thr,Threshold
Tx,Transmission
UL,Uplink
