"EntryCondition, ExitCondition field descriptions"
"entryEvaluationOnLR-ForLR-OnLPSSIndicates the threshold(s) for a UE supporting OOK based LP-WUR or OFDM based LP-WUR measuring on LP-SS to determine whether the entry condition for using LP-WUS is fulfilled or not based on the serving cell measurement on LP-WUR (see TS 38.304 [20], clause 7.5.1). This field is optional present for the cell supporting OOK based LP-WUR or OFDM based LP-WUR measuring on LP-SS. It is absent otherwise."
"entryEvaluationOnLR-ForLR-OnSSBIndicates the threshold(s) for a UE supporting OFDM based LP-WUR measuring on SSB to determine whether the entry condition for using LP-WUS is fulfilled or not based on the serving cell measurement on LP-WUR (see TS 38.304 [20], clause 7.5.1). This field is optional present for the cell supporting OFDM based LP-WUR measuring on SSB. It is absent otherwise."
"entryEvaluationOnMR-ForLR-OnLPSSIndicates the threshold(s) for a UE supporting OOK based LP-WUR or OFDM based LP-WUR measuring on LP-SS to determine whether the entry condition for using LP-WUS is fulfilled or not based on the serving cell measurement on MR (see TS 38.304 [20], clause 7.5.1)."
"entryEvaluationOnMR-ForLR-OnSSBIndicates the threshold(s) for a UE supporting OFDM based LP-WUR measuring on SSB to determine whether the entry condition for using LP-WUS is fulfilled or not based on the serving cell measurement on MR (see TS 38.304 [20], clause 7.5.1)."
"exitEvaluationOnLR-ForLR-OnLPSSIndicates the threshold(s) for a UE supporting OOK based LP-WUR or OFDM based LP-WUR measuring on LP-SS to determine whether the exit condition for using LP-WUS is fulfilled or not based on the serving cell measurement on LP-WUR (see TS 38.304 [20], clause 7.5.1). This field is optional present for the cell supporting OOK based LP-WUR or OFDM based LP-WUR measuring on LP-SS. It is absent otherwise."
"exitEvaluationOnLR-ForLR-OnSSBIndicates the threshold(s) for a UE supporting OFDM based LP-WUR measuring on SSB to determine whether the exit condition for using LP-WUS is fulfilled or not based on the serving cell measurement on LP-WUR (see TS 38.304 [20], clause 7.5.1). This field is optional present for the cell supporting OFDM based LP-WUR measuring on SSB. It is absent otherwise."
"thresholdP1, thresholdP2Parameters ""SThresholdP1"", and ""SThresholdP2"" in TS 38.304 [20]."
"thresholdQ1, thresholdQ2Parameters ""SThresholdQ1"", and ""SThresholdQ2""in TS 38.304 [20]."
"thresholdP1-LR, thresholdP2-LR, thresholdP3-LR, thresholdP4-LRParameters ""SThresholdP1-LR"", ""SThresholdP2-LR"", ""SThresholdP3-LR"", and ""SThresholdP4-LR"" in TS 38.304 [20]."
"thresholdQ1-LR, thresholdQ2-LR, thresholdQ3-LR, thresholdQ4-LRParameters ""SThresholdQ1-LR"", ""SThresholdQ2-LR"", ""SThresholdQ3-LR"", and ""SThresholdQ4-LR"" in TS 38.304 [20]."
