targetRAT-Type,Standard to apply,targetRAT-MessageContainer
eutra,TS 36.331 [10] (clause 5.4.2),DL-DCCH-Message including the RRCConnectionReconfiguration
utra-fdd,TS 25.331 [45] (clause 10.2.16a),Handover TO UTRAN command
