Bit,Short Message
1,"systemInfoModificationIf set to 1: indication of a BCCH modification other than SIB6, SIB7, SIB8 and posSIBs."
2,etwsAndCmasIndicationIf set to 1: indication of an ETWS primary notification and/or an ETWS secondary notification and/or a CMAS notification.
3,"stopPagingMonitoringThis bit can be used for only operation with shared spectrum channel access and if nrofPDCCH-MonitoringOccasionPerSSB-InPO is present.If set to 1: indication that the UE may stop monitoring PDCCH occasion(s) for paging in this Paging Occasion as specified in TS 38.304 [20], clause 7.1."
4,"systemInfoModification-eDRXIf set to 1: indication of a BCCH modification other than SIB6, SIB7, SIB8 and posSIBs. This indication applies only to UEs using IDLE eDRX cycle longer than the BCCH modification period."
5,"adaptiveRAResourcesIf set to 1: Indication of activation for adaptive random access resources in all configured initial uplink BWPs when UE is in RRC_IDLE/RRC_INACTIVE or in all dedicated uplink BWPs when UE is in RRC_CONNECTED. UEs in RRC_CONNECTED shall monitor for adaptiveRAResources indication in any paging occasion at least once per modification period if the UE is provided with pagingSearchSpace on the active BWP to monitor paging, as specified in TS 38.213 [13], clause 13."
6 – 8,"Not used in this release of the specification, and shall be ignored by UE if received."
