Conditional Presence,Explanation
AdditionalRACH,"The field is mandatory present if the RACH-ConfigCommon is included in an AdditionalRACH-Config. When included in initialUplinkBWP-RedCap to indicate other feature(s) than redcap and eRedCap, this field is mandatory present with at least FeatureCombinationPreambles list entries: the list entry/entries indicating only redcap or eRedCap and the other(s) indicating both redcap or eRedCap and one or multiple other feature(s) (e.g., smallData, nsag or msg3-Repetitions). When included in initialUplinkBWP-RedCap to indicate eRedCap and RedCap separately, this field is mandatory present with at least two FeatureCombinationPreambles list entries: one list entry indicating only redcap and the other list entry indicating only eRedCap.Otherwise, it is optional, Need R."
InitialBWP-Only,"This field is optionally present, Need R, if this BWP is the initial BWP of SpCell. Otherwise, the field is absent."
L139,"The field is mandatory present if prach-RootSequenceIndex L=139, or if L=571 for FR2-2, otherwise the field is absent, Need S."
SUL,"The field is mandatory present in rach-ConfigCommon in initialUplinkBWP if supplementaryUplink is configured in ServingCellConfigCommonSIB or if supplementaryUplinkConfig is configured in ServingCellConfigCommon; otherwise, the field is absent. This field is neither configured in additionalRACH-Config nor in sbfd-RACH-DualConfig."
