Conditional Presence,Explanation
FDD-OrSUL-OrEarlyUL-Sync,"The field is mandatory present if this FrequencyInfoUL is for the paired UL for a DL (defined in a FrequencyInfoDL), if this FrequencyInfoUL is for a supplementary uplink (SUL), or if this FrequencyInfoUL is configured within EarlyUL-SyncConfig. It is absent, Need R, otherwise."
FDD-TDD-OrSUL-Optional,"The field is optionally present, Need R, if this FrequencyInfoUL is for the paired UL for a DL (defined in a FrequencyInfoDL), or if this FrequencyInfoUL is for an unpaired UL (TDD) in certain bands (as defined in clause 5.4.2.1 of TS 38.101-1 and in clause 5.4.2.1 of TS 38.104 [12]), or if this FrequencyInfoUL is for a supplementary uplink (SUL). It is absent, Need R, otherwise."
