Conditional Presence,Explanation
SharedSpectrum2,"The field is optional present, Need R, if this cell operates with shared spectrum channel access. Otherwise, it is absent, Need R."
FR1-Only,This field is mandatory present for an FR1 carrier frequency. It is absent otherwise.
FR2-Only,This field is mandatory present for an FR2 carrier frequency. It is absent otherwise.
SupportLR-OnLPSS,This field is mandatory present for the cell supporting OOK based LP-WUR or OFDM based LP-WUR measuring on LP-SS. It is absent otherwise.
SupportLR-OnSSB,This field is mandatory present for the cell supporting OFDM based LP-WUR measuring on SSB. It is absent otherwise.
OOK-Only,"This field is mandatory present for OOK based LP-WUR for LP-WUS operation in RRC IDLE/INACTIVE. Otherwise, it is absent."
OOK4-Only,"This field is mandatory present for OOK-4 based LP-SS with M value >1, and optional present, Need R, for OOK-4 based LP-SS with M value =1. Otherwise, it is absent."
