Conditional Presence,Explanation
RBTermChange,"The field is mandatory present in case of:-set up of signalling and data radio bearer,-change of termination point for the radio bearer between MN and SN.It is optionally present otherwise, Need S."
RBTermChange1,"The field is mandatory present in case of:-set up of signalling and data radio bearer,-change of termination point for the radio bearer between MN and SN,-handover from E-UTRA/EPC or E-UTRA/5GC to NR,-handover from NR or E-UTRA/EPC to E-UTRA/5GC if the UE supports NGEN-DC.It is optionally present otherwise, Need S."
PDCP,"The field is mandatory present if the corresponding DRB/multicast MRB is being setup or corresponding DRB/multicast MRB is reconfigured with NR PDCP or if the corresponding SRB associated with two RLC entities is being setup or if the number of RLC bearers associated with the DRB/multicast MRB or SRB is changed or if the corresponding SRB4, SRB5 or SRB6 is being setup. The field is optionally present, Need S, if the corresponding SRB1 or SRB2 or SRB3 associated with one RLC entity is being setup or if the corresponding SRB1 or SRB2 or SRB3 is reconfigured with NR PDCP; otherwise the field is optionally present, need M."
DRBSetup,"The field is mandatory present if the corresponding DRB is being setup; otherwise the field is optionally present, need M."
HO-Conn,"The field is mandatory present-in case of inter-system handover from E-UTRA/EPC to E-UTRA/5GC or NR,-or when the fullConfig is included in the RRCReconfiguration message and NE-DC/NR-DC is not configured,-or in case of RRCSetup.Otherwise the field is optionally present, need N.Upon RRCSetup, only SRB1 can be present."
HO-toNR,"If mrb-ToAddModList is not included, the field is mandatory present for UEs other than NCR-MT-in case of inter-system handover from E-UTRA/EPC to E-UTRA/5GC or NR,-or when the fullConfig is included in the RRCReconfiguration message and NE-DC/NR-DC is not configured.In case of RRCSetup, the field is absent; otherwise the field is optionally present, need N."
DAPS,"The field is optionally present, need N, in case masterCellGroup includes ReconfigurationWithSync, SCell(s) and SCG are  not configured, multi-DCI/single-DCI based multi-TRP are not configured in any DL BWP, supplementaryUplink is not configured, ethernetHeaderCompression is not configured for the DRB, conditionalReconfiguration is not configured, and NR sidelink and V2X sidelink are not configured. Otherwise the field is absent."
MRBSetup,"The field is mandatory present if the corresponding multicast MRB is being setup; otherwise the field is optionally present, need M."
N3C MP,"The field is optionally present if the corresponding radio bearer is being setup for MP with N3C indirect path, need R. It is absent otherwise."
