DownlinkPreemption field descriptions
"dci-PayloadSizeTotal length of the DCI payload scrambled with INT-RNTI (see TS 38.213 [13], clause 11.2)."
"int-ConfigurationPerServingCellIndicates (per serving cell) the position of the 14 bit INT values inside the DCI payload (see TS 38.213 [13], clause 11.2)."
"int-RNTIRNTI used for indication pre-emption in DL (see TS 38.213 [13], clause 10)."
"timeFrequencySetSet selection for DL-preemption indication (see TS 38.213 [13], clause 11.2) The set determines how the UE interprets the DL preemption DCI payload."
