Conditional Presence,Explanation
Mandatory,The field is mandatory present.
Occasions,"The field is optionally present, Need S, if the field occasions is present, otherwise it is absent."
2StepCFRA,"The field is optionally present for the case of 2-step RA type contention free random access, Need S, otherwise it is absent."
4StepCFRArep,"For non-(e)RedCap UEs, the field is optionally present, Need S, if resources is set to ssb and there is one FeatureCombinationPreambles entry indicating only msg1-Repetitions which is associated with the same Msg1 repetition number.For RedCap UEs or if RedCap is considered to be applicable for this Random Access procedure for eRedCap UEs, the field is optionally present, Need S, if resources is set to ssb and there is one FeatureCombinationPreambles entry indicating only redCap and msg1-Repetitions which is associated with the same Msg1 repetition number.For eRedCap UEs, if eRedCap is considered to be applicable for this Random Access procedure, the field is optional present, Need S, if resource is set to ssb and there is one FeatureCombinationPreambles entry indicating only eRedCap and msg1-Repetitions which is associated with the same Msg1 repetition number.Otherwise, it is absent."
