Conditional Presence,Explanation
CRS-IM,"For the serving cell with 15kHz SCS, this field is mandatory present for the UE supporting the capability of crs-IM-nonDSS-NWA-15kHzSCS-r17, but not supporting crs-IM-nonDSS-15kHzSCS-r17, if RateMatchPatternLTE-CRS is not configured for this serving cell. Otherwise it is optionally present, Need S if RateMatchPatternLTE-CRS is configured for this serving cell; Need M otherwise.For the serving cell with 30kHz SCS, this field is mandatory present for the UE supporting the capability of crs-IM-nonDSS-NWA-30kHzSCS-r17, but not supporting crs-IM-nonDSS-30kHzSCS-r17, if RateMatchPatternLTE-CRS is not configured for this serving cell. Otherwise it is optionally present, Need S if RateMatchPatternLTE-CRS is configured for this serving cell; Need M otherwise."
NotCellID,"If the field neighCellId is present, this field shall be absent; otherwise, it is optionally present if the IE LTE-NeighCellsCRS-AssistInfoList contains one list entry, Need S, or it is mandatory present if the IE LTE-NeighCellsCRS-AssistInfoList contains multiple list entries."
