Conditional Presence,Explanation
codebookBased,The field is mandatory present if txConfig is set to codebook and absent otherwise.
RepTypeB,"The field is optionally present, Need S, if pusch-RepTypeIndicatorDCI-0-1 is set to pusch-RepTypeB. It is absent otherwise."
RepTypeB2,"The field is optionally present, Need S, if pusch-RepTypeIndicatorDCI-0-1 or pusch-RepTypeIndicatorDCI-0-2 is set to pusch-RepTypeB. It is absent otherwise."
SRSsets,This field is mandatory present when UE is configured with two SRS sets in either srs-ResourceSetToAddModList or srs-ResourceSetToAddModListDCI-0-2 with usage codebook or non-codebook and none of multipanelSchemeSDM or multipanelSchemeSFN or sTx-2Panel is configured. It is absent otherwise.
