Conditional Presence,Explanation
LCH-Setup,"This field is mandatory present upon creation of a new logical channel for a DRB or a multicast MRB or SRB4 or SRB5 or SRB6. This field is optionally present, Need S, upon creation of a new logical channel for an SRB except SRB4 and SRB5. It is optionally present, Need M, otherwise."
LCH-SetupModMRB,"This field is optionally present upon creation of a new logical channel for PTM reception for a multicast MRB. If this field is included upon creation of a new logical channel for PTM reception for a multicast MRB, it shall be present when modifying this logical channel. The field is absent for logical channels configured for an SRB and a DRB."
LCH-SetupOnly,"This field is mandatory present upon creation of a new logical channel for a DRB or an SRB (servedRadioBearer). It is absent, Need M otherwise."
LCH-SetupOnlyMRB,"This field is mandatory present upon creation of a new logical channel for a multicast MRB and upon modification of MRB-Identity of the served MRB. It is absent, Need M otherwise."
LCH-SetupOnlySRB4,"This field is mandatory present upon creation of a new logical channel for SRB4 (servedRadioBearerSRB4). It is absent, Need M otherwise."
LCH-SetupOnlySRB5,"This field is mandatory present upon creation of a new logical channel for SRB5 (servedRadioBearerSRB5). It is absent, Need M otherwise."
LCH-SetupOnlySRB6,"This field is mandatory present upon creation of a new logical channel for SRB6 (servedRadioBearerSRB6). It is absent, Need M otherwise."
