CSI-ReportCJTC field descriptions
associatedSRS-ResourceSetThis field is used in clause 5.2.1.4 in TS 38.214 [19].
linkedCJTC-ReportLinked CJT calibration report when codebook type is set to typeII-CJT-r18. This field is used in clause 5.2.1.4 in TS 38.214 [19].
nrOfSubbandsPOThis field is used in clause 5.2.1.4 in TS 38.214 [19].
referenceAntennaPortThis field is used in clause 5.2.1.4 in TS 38.214 [19].
subbandSizeCJTCThis field is used in clause 5.2.1.4 in TS 38.214 [19].
valueOfADThis field is used in clause 5.2.1.4 in TS 38.214 [19]. Value dot5 corresponds to 0.5 CP and value one corresponds to 1 CP.
valueOfAFOThis field is used in clause 5.2.1.4 in TS 38.214 [19]. Value zeroDot1 corresponds to 0.1 ppm and value zeroDot2 corresponds to 0.2 ppm.
valueOfMDThis field is used in clause 5.2.1.4 in TS 38.214 [19].
valueOfMFOThis field is used in clause 5.2.1.4 in TS 38.214 [19].
valueOfMPhiThis field is used in clause 5.2.1.4 in TS 38.214 [19].
