Conditional Presence,Explanation
FreqHopConfigured,"This field is mandatory present when the field msgA-IntraSlotFrequencyHopping is configured. Otherwise, the field is absent."
GroupBConfigured,"The field is mandatory present if groupB-ConfiguredTwoStepRA is configured in RACH-ConfigCommonTwoStepRA, otherwise the field is absent."
InitialBWPConfig,"The field is mandatory present when MsgA-ConfigCommon is configured for the initial uplink BWP, or when MsgA-ConfigCommon is configured for a non-initial uplink BWP and MsgA-ConfigCommon is not configured for the initial uplink BWP, otherwise the field is optionally present, Need S."
