Conditional Presence,Explanation
G-RNTI,"The field is optionally present, Need R, if g-RNTI is included. Otherwise, it is absent."
MTCH-Mapping,"The field is mandatory present if the number of actual transmitted SSBs determined according to ssb-PositionsInBurst in SIB1 is more than 1, and searchSpaceMulticastMTCH is not set to zero (including the case where searchSpaceMulticastMTCH is absent and searchSpaceMulticastMCCH is not set to zero). Otherwise, it is absent, Need R."
RRCRelease,"The field is optionally present, Need R, if mbs-SessionInfoListMulticast is included in RRCRelease message. Otherwise, it is absent."
