Conditional Presence,Explanation
2TA-TDD-Only,"The field is optionally present, Need N, for a TDD cell, in the mimoParam-v1850 if additionalPCI-ToAddModList is present in ServingCellConfig and if tag2 is present in ServingCellConfig. It is absent otherwise."
AsyncCA,"This field is mandatory present for SCells whose slot offset between the SpCell is not 0. Otherwise it is absent, Need S."
MeasObject,"This field is mandatory present for the SpCell if the UE has a measConfig, and it is optionally present, Need M, for SCells. For (e)RedCap UEs, this field is optionally present, Need M.For SSB-less SCell(s), this field is not present if intraF-NeighMeasForSCellWithoutSSB is not supported by the UE, and if OD-SSB is not configured in IE SCellConfig, otherwise this field is optionally present, Need M."
MeasObjectOD,This field is mandatory present if od-SSB-AbsoluteFrequency indicates different frequency than absoluteFrequencySSB of the serving cell or if absoluteFrequencySSB is absent and OD-SSB is configured in IE CellGroupConfig. It is absent otherwise.
SCellOnly,"This field is optionally present, Need R, for SCells. It is absent otherwise."
ServingCellWithoutPUCCH,"This field is optionally present, Need S, for SCells except PUCCH SCells. It is absent otherwise."
SyncAndCellAdd,"This field is mandatory present for a SpCell upon reconfiguration with reconfigurationWithSync and upon RRCSetup/RRCResume.The field is optionally present for an SpCell, Need N, upon reconfiguration without reconfigurationWithSync.The field is mandatory present for an SCell upon addition, and absent for SCell in other cases, Need M."
TCI_ActivatedConfig,"This field is optional Need N for SCells if sCellState is configured, otherwise it is absent.This field is optional Need S for the PSCell when the SCG is indicated as deactivated or is being activated, otherwise it is absent.This field is absent for the PCell."
TDD,"This field is optionally present, Need R, for TDD cells. It is absent otherwise."
TDD_IAB,"For IAB-MT, this field is optionally present, Need R, for TDD cells. It is absent otherwise."
TypeDCI0-3,"This field is mandatory present if ScheduledCellListDCI-0-3 is configured, otherwise it is absent, Need R."
TypeDCI1-3,"This field is mandatory present if ScheduledCellListDCI-1-3 is configured, otherwise it is absent, Need R."
