RateMatchPatternLTE-CRS field descriptions
"carrierBandwidthDLBW of the LTE carrier in number of PRBs (see TS 38.214 [19], clause 5.1.4.2)."
"carrierFreqDLCenter of the LTE carrier (see TS 38.214 [19], clause 5.1.4.2)."
"mbsfn-SubframeConfigListLTE MBSFN subframe configuration (see TS 38.214 [19], clause 5.1.4.2)."
"nrofCRS-PortsNumber of LTE CRS antenna port to rate-match around (see TS 38.214 [19], clause 5.1.4.2)."
"v-ShiftShifting value v-shift in LTE to rate match around LTE CRS (see TS 38.214 [19], clause 5.1.4.2)."
