Conditional Presence,Explanation
AssociatedGapCSIRS,"This field is optionally present, Need R if associatedMeasGapCSIRS is configured, otherwise, it is absent."
AssociatedGapSSB,"This field is optionally present, Need R if associatedMeasGapSSB is configured, otherwise, it is absent."
CSI-RS,"This field is mandatory present if csi-rs-ResourceConfigMobility is configured, otherwise, it is absent."
IntraFreqConnected,"This field is optionally present, Need R if the UE is configured with a serving cell for which (absoluteFrequencySSB, subcarrierSpacing) in ServingCellConfigCommon is equal to (ssbFrequency, ssbSubcarrierSpacing) in this MeasObjectNR, otherwise, it is absent."
SCellMO,"This field is optionallly present, Need R, in the MeasObjectNR associated with an SCell. Otherwise the field is absent."
SCG,"This field is optionallly present, Need R, in the measConfig associated with the SCG. It is absent in the measConfig associated with the MCG."
NeighbourCell,"This field is mandatory present if this MeasObject is configured by the serving cell for a neighbour cell served by a NTN Earth-moving cell and is associated with a ReportConfig which contains EventD2 or condEventD2. Otherwise, it is optional, Need R."
SharedSpectrum,"This field is mandatory present if this MeasObject is for a frequency which operates with shared spectrum channel access in FR1. Otherwise, it is absent, Need R."
SharedSpectrum2,"This field is optionally present if this MeasObject is for a frequency which operates with shared spectrum channel access in FR2-2, Need R. Otherwise, it is absent, Need R."
SSBorAssociatedSSB,"This field is mandatory present if ssb-ConfigMobility is configured or associatedSSB is configured in at least one cell. Otherwise, it is absent, Need R."
