Parameter,Unit,Value,Comment
UE configured E-UTRA RF Channel Number,,"1, 2,3,4,5,6,7,8,9",Serving cell and eight TDD carrier frequencies are used in the UE neighbour cell list.
Test equipment configuration,,"Cell 1 uses UTRA RF channel number 1Cells 2,3,4 are randomly selected to use different frequencies selected from frequencies 2,3,4,5,6,7,8,9",
Gap Pattern Id,,1,As specified in TS 36.133 clause 8.1.2.1.
CP length,,Normal,
E-UTRA RF Channel Number,,"1, 2",Two TDD carrier frequencies are used.
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,Cell 2 is on RF channel number 2
A3-Offset,dB,-6,
Hysteresis,dB,0,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,
T1,s,5,
T2,s,80,
