Parameter,Unit,Value,Comment
UE configured E-UTRA RF Channel Number,,"1, 2,3,4,5,6,7,8,9",Serving cell and eight FDD carrier frequencies are used in the UE neighbour cell list.
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cells,,"Cell 2, Cell 3, Cell 4","Cells 2, 3, 4 are randomly selected to use different frequencies selected from frequencies 2,3,4,5,6,7,8,9"
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
A3-Offset,dB,-6,
Hysteresis,dB,0,
Reduced Performance Group Scaling factor,-,8,
CP length,,Normal,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,OFF
T1,s,5,
T2,s,40,
