Parameter,Unit,Value,,Comment
,,Test 1,Test 2,
Reference cell,,Cell 1,,"Reference cell is the cell in the OTDOA assistance data with respect to which the RSTD measurement is defined, as specified in TS 36.214 [4] and TS 36.355 [24]. The reference cell is the PCell in this test case."
Neighbor cells,,Cell 2 and Cell 3,,"Cell 2 and Cell 3 appear at random places in the neighbour cell list in the OTDOA assistance data, but Cell 2 always appears in the first half of the list, whilst Cell 3 appears in the second half of the list."
MPDCCH,,DL Reference Measurement Channel R.16 FDD,,As specified in clause A.3.1.3.1
mPDCCH-startSF-UESS,,10,,Parameter G in  which determines subframe k0 in which MPDCCH starts in the serving cell.
System Channel Bandwidth (BWchannel),MHz,10,,
Gap pattern Id,,0,,As specified in Table 8.1.2.1-1. Applies for measurements on Cell 2 and Cell 3
Gap offset,,10,,"As specified in TS 36.331 [2], Clause 6.3.5"
PRS Transmission Bandwidth,RB,50 Note 1,,PRS are transmitted over the system bandwidth
PRS configuration index,,"Cell 1: 181,Cell 2, Cell 3: 171",,"This corresponds to periodicity of 320 ms and PRS subframe offset of  DL subframes, as defined in TS 36.211 [16], Table 6.10.4.3-1"
Number of consecutive downlink positioning subframes,,4,2,As defined in TS 36.211 [16]. The number of subframes in a positioning occasion
Physical cell ID PCI,,(PCI of Cell 1 – PCI of Cell 2)mod6=0and(PCI of Cell 1 – PCI of Cell 3)mod6=0,,The cell PCIs are selected such that the relative shifts of PRS patterns among cells are as given by the test parameters
CP length,,Normal,,
DRX,,ON,,DRX parameters are further specified in Table A.8.13.3.1-3
prs-SubframeOffset,,310,,Number of subframes rounded to the closest integer. The corresponding parameter in the OTDOA assistance data is prs-SubframeOffset specified in TS 36.355 [24]
slotNumberOffset,,0,,The slot number offset at the transmitter between a neighbour cell and the assistance data reference cell specified in TS 36.355 [24]
Radio frame receive time offset between the cells at the UE antenna connector,s,Cell 2 to Cell 1: 1Cell 3 to Cell 1: -1,,PRS are transmitted from synchronous cells
Expected RSTD,s,Cell 2: -2 Cell 3: 2Other neighbour cells: randomly between -3 and 3,,The expected RSTD is what is expected at the receiver. The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD indicator
Expected RSTD uncertainty for all neighbour cells,s,5,,The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD-Uncertainty index
Number of cells provided in OTDOA assistance data,,16,,"The list includes the reference cell (received in OTDOA-ReferenceCellInfo [24]) on RF channel 1 and 15 other cells on RF channel 2, all received in OTDOA-ProvideAssistanceData [24]."
PRS muting info,,Cell 1: ‘1111111100000000’Cell 2: ‘0000000011111111’Cell 3: ‘1111111100000000’,,Correponds to prs-MutingInfo defined in TS 36.355 [24]
T1,s,3,,The length of the time interval from the beginning of each test
T2,s,7.68,5.12,The length of the time interval that follows immediately after time interval T1
T3,s,7.68,5.12,The length of the time interval that follows immediately after time interval T2
"NOTE 1:If the PRS transmission bandwidth is larger than the UE RF bandwidth, the UE is measuring RSTD within its RF bandwidth.",,,,
