Parameter,Unit,Cell 2,,Cell 3,,Cell 4,
,,T1,T2,T1,T2,T1,T2
UTRA RF Channel Number,,"Cells 2 is randomly selected to use different frequencies selected from UTRA RF channel numbers 2,3,4,5,6,7",,"Cells 3 is randomly selected to use different frequencies selected from UTRA RF channel numbers 2,3,4,5,6,7",,"Cells 4 is randomly selected to use different frequencies selected from UTRA RF channel numbers 2,3,4,5,6,7",
CPICH_Ec/Ior,dB,-10,,,,,
PCCPCH_Ec/Ior,dB,-12,,,,,
SCH_Ec/Ior,dB,-12,,,,,
PICH_Ec/Ior,dB,-15,,,,,
DPCH_Ec/Ior,dB,N/A,,,,,
OCNS,,-0.941,,,,,
,dB,-infinity,-1.8,-infinity,-1.8,-infinity,-1.8
,dBm/3.84 MHz,-70,,,,,
CPICH_Ec/Io,dB,-infinity,-14,-infinity,-14,-infinity,-14
Propagation Conditions,,Case 5 (Note 3),,,,,
Notes TBD,,,,,,,
