Parameter,Unit,Value,Comment
PDSCH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2.
PCFICH/PDCCH/PHICH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2.
Gap Pattern Id,,1,As specified in TS 36.133 clause 8.1.2.1.
Active cell,,Cell 1,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,Cell 2,Cell 2 is on CDMA2000 1X RF channel number 1.
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. Applicable to cell 1.
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211. Applicable to cell 1.
CP length,,Normal,Applicable to cell 1.
E-UTRA RF Channel Number,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),MHz,10,
CDMA2000 1X Channel Number,,1,One CDMA2000 1X carrier frequency is used.
Inter-RAT (CDMA2000 1X) measurement quantity,,CDMA2000 1xRTT Pilot Strength,
B1-Threshold-CDMA2000,dB,-14,Absolute ‘CDMA2000 1xRTT Pilot Strength’ threshold for event B1
Hysteresis,dB,0,
Time To Trigger,ms,0,
Filter coefficient,,0,L3 filtering is not used.
DRX,,OFF,
cdma2000 1X neighbour cell list size,,8,cdma2000 1X cells on cdma2000 1X RF channel 1 provided in the cell list before T2.
cdma2000-SearchWindowSize,,8 (60 PN chips),Search window size as defined in clause 6.3.5 in TS 36.331
T1,s,5,
T2,s,3,
