Parameter,Unit,Cell 1,Cell 2,Cell 3
OCNG patterns defined in A.3.2.1,,OP.13 FDD,N/A,N/A
Io Note 1,dBm/18 MHz,-64.21,N/A,N/A
Note 1:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 2:See Table A.8.17.1.1-2 for the other parameters.,,,,
