Parameter,Unit,Cell 1,
,,T1,T2
BWchannel,MHz,5,
OCNG Pattern defined in A.3.2.1.15,,OP.15 FDD,
NOTE:See Table A.8.1.3.1-2 for the other parameters.,,,
