Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,"1, 2, 3",Three radio channels are used for this test
Active PCell,,Cell 1,PCell on RF channel number 1.
Configured PScell,,Cell 2,PSCell on RF channel number 2.
Deconfigured SCell in MCG,,Cell 3,Deconfigured SCell in MCG  on RF channel number 3.
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
CQI/PMI periodicity and offset configuration index,,0,CQI reporting for SCells every second subframe
Cell-individual offset for cells on RF channel number 1,dB,0,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,Individual offset for cells on the frequency of PSCell.
Cell-individual offset for cells on RF channel number 3,dB,0,Individual offset for cells on SCC1.
Filter coefficient,,0,L3 filtering is not used
SCell measurement cycle (measCycleSCell),ms,320,
T1,s,7,During this time the PCell and PSCell shall be known and the SCell1 configured and detected.
T2,s,1,During this time the UE shall activate the SCell1.
T3,s,1,During this time the UE shall deactivate the SCell1.
