Parameter,Unit,Value,Comment
Gap Pattern Id,,1,As specified in TS 36.133 clause 8.1.2.1.
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211. The same configuration in both cells
Uplink-downlink configuration,,1,As specified in TS 36.211 clause 4.2 Table 4.2-2
CP length,,Normal,
E-UTRA RF Channel Number,,"1, 2",Two TDD carrier frequencies are used.
E-UTRA RF Channel Number for Scell,,3,One TDD carrier frequencies is used
Active cell,,Cell 1,Cell 1 is on RF channel number 1
Neighbour cell,,Cell 2,Cell 2 is on RF channel number 2
Configured active Scell,,Cell 3,Cell 3 is on RF channel number 3
A3-Offset,dB,-6,
Hysteresis,dB,0,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,
Cell2 timing offset to cell1,s,3,Synchronous cells
Cell3 timing offset to cell1,s,0,Synchronous cells
Time alignment error between cell3 and cell1,s,Time alignment error as specified in 3GPP TS 36.104 [30] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
T1,s,5,
T2,s,10,
Note 1:This test verifies the RRM requirement which is independent of channel bandwidth and is performed according to the principle defined in section A.3.6.1.,,,
