Parameter,Unit,Cell 2 (UTRA),,,,
Timeslot Number,,0,,,DwPTS,
,,T1,,T2,T1,T2
UTRA RF Channel Number NOTE1,,Channel 2,,,,
PCCPCH_Ec/Ior,dB,-3,,-3,,
DwPCH_Ec/Ior,dB,,,,0,0
OCNS_Ec/IorNOTE2,dB,-3,,-3,,
,dB,-inf,,5,-inf,5
,dBm/1.28 MHz,-80,,,,
PCCPCH RSCP,dBm,-inf,-78,,n.a.,n.a.
Propagation Condition,,Case 3NOTE3,,,,
"Note 1: In the case of multi-frequency cell, the UTRA RF Channel Number is the primary frequency’s channel number.Note 2:The power of the OCNS channel that is added shall make the total power from the cell to be equal to Ior.Note 3:Case 3 propagation conditions are defined in Annex B of TS 25.102",,,,,,
