Parameter,Unit,Cell 1,,Cell 2,,Cell 3,
,,T2,T3,T2,T3,T2,T3
OCNG patterns defined in A.3.2.1,,OP.13 FDD,,OP.14 FDD,,OP.14 FDD,N/A
Io Note 1,dBm/18 MHz,-66.93,N/A,N/A,-63.67,-67.09,N/A
Note 1:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 2:See Table A.8.17.1.1-3 for the other parameters.,,,,,,,
