Parameter,Unit,Cell 1,,Cell 2,,Cell 3,
,,T2,T3,T2,T3,T2,T3
OCNG patterns defined in A.3.2.1,,OP.5 FDD,,OP.19 FDD,,OP.19 FDD,N/A
Io Note 1,dBm/9 MHz,-69.94,N/A,N/A,N/A,N/A,N/A
,dBm/4.5MHz,N/A,N/A,N/A,-69.69,-73.12,N/A
Note 1:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 2:See Table A.8.17.1.1-3 for the other parameters.,,,,,,,
