Field,Value,Comment
TimeAlignmentTimer,sf500,As specified in clause 6.3.2 in TS 36.331 [2]
sr-ConfigIndex,0,For further information see clause 6.3.2 in TS 36.331 [2] and section10.1 in TS 36.213 [3].
