Parameter,Unit,Cell 1,Cell 2,Cell 3,Cell 4
E-UTRA RF Channel Number,,1,N/A,N/A,N/A
Channel Bandwidth (BWchannel),MHz,"5,10,20",N/A,N/A,N/A
Correlation Matrix and Antenna Configuration,,1x2 Low,1x2 Low,1x2 Low,1x2 Low
PCFICH/PDCCH/PHICH parameters as specified in clause A.3.1.2.1,,5MHz: R.11 FDD 10MHz: R.6 FDD 20MHz: R.10 FDD,N/A,N/A,N/A
OCNG patterns defined in A.3.2.1,,5MHz: OP.18 FDD10MHz: OP.5 FDD20MHz: OP.13 FDD,N/A,N/A,N/A
PBCH_RA,dB,0,N/A,N/A,N/A
PBCH_RB,,,,,
PSS_RA,,,,,
SSS_RA,,,,,
PCFICH_RB,,,,,
PHICH_RA,,,,,
PHICH_RB,,,,,
PDCCH_RA,,,,,
PDCCH_RB,,,,,
OCNG_RANote 1,,,,,
OCNG_RBNote 1,,,,,
Note 3,dBm/15 kHz,-95,N/A,N/A,N/A
PRS,dB,-Infinity,-Infinity,-Infinity,-Infinity
Io Note 4,dBm/9 MHz,"-67.22+10log(NRB,c /50)",N/A,N/A,N/A
,dB,0,-Infinity,-Infinity,-Infinity
Propagation Condition,,ETU30,,,
Note 1: OCNG shall be used such that active cell (Cell 1) is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3: Interference from other cells and noise sources not specified in the test are assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4: Io levels have been derived from other parameters and are given for information purpose. These are not settable test parameters.,,,,,
