Parameter,Unit,Cell 2,,,
,,T1,,T2,
Timeslot Number,,0,DwPTS,0,DwPTS
UTRA RF Channel Number (NOTE1),,Channel1,,,
PCCPCH_Ec/Ior,dB,-Infinity,,-3,
DwPCH_Ec/Ior,dB,-Infinity,,,0
OCNS_Ec/Ior,,-Infinity,,-3,
,dB,-Infinity,,9,
,dBm/1.28 MHz,-70,,,
PCCPCH_RSCP Note 3,dB,-Infinity,,-64,
Io Note 3,dBm/1.28 MHz,-70.00,,-60.49,
Propagation Condition,,Case 3 (NOTE2),,,
NOTE1:The DPCH of the cell is located in a timeslot other than 0.NOTE2:Case 3 propagation conditions are specified in TS25.102 Annex BNOTE3:PCCPCH_RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves,,,,,
