Parameter,Unit,Value,Comment
Active cell,,Cell 1,
Neighbour cell,,Cell 2,Cell to be identified.
A3-Offset,dB,-6,
CP length,,Normal,
Special subframe configuration,,6,As specified in table 4.2-1 in TS 36.211 [16]. The same configuration in both cells
Uplink-downlink configuration,,1,As specified in table 4.2-2 in TS 36.211 [16]. The same configuration in both cells
Hysteresis,dB,0,
Time To Trigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,ON,DRX related parameters are defined in Table A.8.2.11.1-3
T1,s,5,
T2,s,30,
