Parameter,Unit,Cell 3 (UTRA),,,
Timeslot Number,,0,,DwPTS,
,,T1,T2,T1,T2
UTRA RF Channel Number*,,Channel 3,,,
PCCPCH_Ec/Ior,dB,-3,,,
DwPCH_Ec/Ior,dB,,,0,
OCNS_Ec/Ior,dB,-3,,,
,dB,-Infinity,9,-Infinity,9
,dBm/1.28 MHz,-80,,,
PCCPCH RSCP,dBm,-Infinity,-74,n.a.,
Propagation Condition,,Case 3,,,
"Note1:  The DPCH of all cells are located in a timeslot other than 0.Note2:  In the case of multi-frequency network, the UTRA RF Channel Number can be set for the primary frequency in this test.Note3: P-CCPCH RSCP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,
