Parameter,Unit,Value,Comment
E-UTRA RF channel number,,"1, 2, 3",Three FDD carrier frequencies are used.
Active cell,,"Cell 1, Cell 2",Cell 1 is on RF channel number 1Cell 2 is on RF channel number 2
Neighbour cell,,Cell 3,Cell 3 is on RF channel number 3.
CP length,,Normal,
Gap Pattern Id,,0,As specified in TS 36.133 clause 8.1.2.1.
A3-Offset,dB,-6,
Hysteresis,dB,0,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,
si-RequestForHO,,TRUE,As specified in clause 5.5.3.1 in TS 36.331.
T1,s,5,
T2,s,10,
T3,s,5,
