Parameter,Unit,Cell 1,,,Cell 2 (WLAN AP),,
,,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,N/A,,
WLAN RF channel Number,,N/A,,,1,,
BWchannel,,10MHz,,,20 MHz,,
PDSCH parameters: DL Reference Measurement Channel,,R.0 TDD,,,N/A,,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement Channel,,R.6 TDD,,,N/A,,
OCNG Patterns,,OP.1 TDD,,,N/A,,
PBCH_RA,dB,0,,,N/A,,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PCFICH_RB,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,,,,,,
PDCCH_RA,dB,,,,,,
PDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote 1,dB,,,,,,
OCNG_RBNote 1,dB,,,,,,
Noc1Note 2,dBm/15 KHz,-98,,,N/A,,
Noc2Note 3,dBm/20 MHz,N/A,,,-75,,
Ês/Noc1,dB,3,3,3,N/A,,
Ês/Iot Note 4,dB,3,3,3,,,
RSRP Note 4,dBm/15 kHz,-95,-95,-95,,,
SCH_RP Note 4,dBm/15 kHz,-95,-95,-95,,,
Io Note 3,dBm/Ch BW,-65.5,-65.5,-65.5,,,
WLAN RSSI Note 4,dBm/20 MHz,N/A,N/A,N/A,-infinity,-65,-70
WLAN SNR,dB,N/A,N/A,N/A,-infinity,9.54,3.35
Propagation Condition,,AWGN,,,AWGN,,
Antenna Configuration,,1x2,,,-,,
Timing offset to Cell 1,ms,0,,,3,,
"Note 1:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:  Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc1 to be fulfilled.Note 3:  Interference from other cells and noise sources not specified in the test is assumed to be constant over the bandwidth and time and shall be modelled as AWGN of appropriate power for Noc2 to be fulfilled.Note 4:Es/Iot, RSRP, SCH_RP, Io and WLAN RSSI have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 5:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.",,,,,,,
