Field,Cell1,Cell2,Comment
,Value,Value,
onDurationTimer,psf1,psf1,As specified in clause 6.3.2 in TS 36.331
drx-InactivityTimer,psf1,psf1,
drx-RetransmissionTimer,psf1,psf1,
longDRX-CycleStartOffset,sf1280,sf80,
shortDRX,disable,disable,
