Parameter,Unit,Cell 1,,Cell 2,,Cell 3,
,,T2,T3,T2,T3,T2,T3
OCNG patterns defined in A.3.2.1,,OP.7 TDD,,OP.2 TDD,,OP.2 TDD,N/A
Io Note 1,dBm/18 MHz,-66.93,N/A,N/A,N/A,N/A,N/A
,dBm/9MHz,N/A,N/A,N/A,-66.68,-70.11,N/A
Note 1:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 2:See Table A.8.17.1.1-3 for the other parameters.,,,,,,,
