Parameter,Unit,Cell 1,,Cell 2,
,,T1,T2,T1,T2
E-UTRA RF Channel Number,,1,,1,
BWchannel,MHz,10,,10,
Correlation Matrix and Antenna Configuration,,2x1,,2x1,
PDSCH parameters:DL Reference Measurement Channel defined in A.3.1.1.4,,R.2 HD-FDD,,-,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement Channel defined in A.3.1.2.3,,R.4 HD-FDD,,R.4 HD-FDD,
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD) and in A.3.2.1.2 (OP.2  FDD),,OP.1 FDD,,OP.2 FDD,
PBCH_RA,dB,-3,,-3,
PBCH_RB,dB,,,,
PSS_RA,dB,,,,
SSS_RA,dB,,,,
PCFICH_RB,dB,,,,
PHICH_RA,dB,,,,
PHICH_RB,dB,,,,
PDCCH_RA,dB,,,,
PDCCH_RB,dB,,,,
PDSCH_RA,dB,,,,
PDSCH_RB,dB,,,,
OCNG_RANote 1,dB,,,,
OCNG_RBNote 1,dB,,,,
,dB,7,1.54,-Infinity,-3.79
Note 3,dBm/15 KHz,-98,,,
,dB,7,7,-Infinity,4
RSRP Note 4,dBm/15 KHz,-91,-91,-Infinity,-94
SCH_RP Note 4,dBm/15 KHz,-91,-91,-Infinity,-94
Io Note 4,dBm/9MHz,-62.43,-60.91,Specified inCell 1 columns,
Propagation Condition,,ETU70,,,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:Es/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,
