Field,Value,Comment
onDurationTimer,psf1,As specified in clause 6.3.2 in TS 36.331
drx-InactivityTimer,psf1,
drx-RetransmissionTimer,psf1,
longDRX-CycleStartOffset,Sf256,
shortDRX,disable,
