Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Active cell,,Cell 1,E-UTRA FDD Cell 1
Neighbour cell,,Cell 2,UTRA TDD Cell 2 is to be identified.
Gap Pattern Id,,1,As specified in TS 36.133 section8.1.2.1.Measurement Gap Repetition Period = 80ms
Inter-RAT measurement quantity,,UTRA TDD PCCPCH RSCP,
Threshold other system,dBm,-75,UTRA TDD PCCPCH RSCP threshold for event B1.
Hysteresis,dB,0,
CP length,,Normal,
TimeToTrigger,s,0,
Filter coefficient,,0,L3 filtering is not used
DRX,,,OFF
T1,s,5,
T2,s,15,
