Parameter,Unit,Cell 1,,Cell 3,
,,T1,T2,T1,T2
BWchannel,MHz,20,,20,
OCNG Pattern defined in A.3.2.2,,OP.7 TDD,,OP.7 TDD,
Propagation Condition,,ETU70,,,
Note 1:See Table A.8.20.4.1.1-2 for other general test parameters.Note 2:This test verifies the RRM requirement which is independent of channel bandwidth and is performed according to the principle defined in section A.3.6.1.,,,,,
