Parameter,Unit,Cell 1,Cell 2,Cell 3
Io Note 1,dBm/9 MHz,-67.22,N/A,N/A
,dBm/4.5MHz,N/A,N/A,N/A
Note 1:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 2:See Table A.8.17.1.1-2 for the other parameters.,,,,
