TPMI index i,Intermediate precoder matrix W'
0 – 15,"12W2,i8 02×202×102×202×202×102×2W2,i mod 8402×102×202×2W1,  i mod 4"
16 – 31,"1202×202×202×1W2,(i-16)802×202×102×2W2,i mod 8402×102×202×2W1,i mod 4"
32 – 159,"12W1,(i-32)3202×102×202×102×1W1,i mod 32802×202×102×102×1W2,i mod 8402×102×102×102×2W1,i mod 4"
