TPMI index,Intermediate precoder matrix (ordered from left to right in increasing order of TPMI index)W',,,,,,,
0 – 7,14111111111-11-11-11-1,1411111111j-jj-jj-jj-j,14111j1-11-j1-11-j111j,14111j1-11-jj-jj1jjj-1,14111-1111-11-1111-111,14111-1111-1j-jjjj-jjj,14111-j1-11j1-11j111-j,14111-j1-11jj-jj-1jjj1
8 – 15,1411jj-1-1-j-j1-1j-j-11-jj,1411jj-1-1-j-jj-j-11-jj1-1,1411j-1-11-j-11-1j1-1-1-j1,1411j-1-11-j-1j-j-1j-j-j1j,1411j-j-1-1-jj1-1jj-11-j-j,1411j-j-1-1-jjj-j-1-1-jj11,1411j1-11-j11-1j-1-1-1-j-1,1411j1-11-j1j-j-1-j-j-j1-j
16 – 23,1411-1-111-1-11-1-111-1-11,1411-1-111-1-1j-j-jjj-j-jj,1411-1-j1-1-1j1-1-1j11-1-j,1411-1-j1-1-1jj-j-j-1jj-j1,1411-1111-111-1-1-11-1-1-1,1411-1111-11j-j-j-jj-j-j-j,1411-1j1-1-1-j1-1-1-j11-1j,1411-1j1-1-1-jj-j-j1jj-j-1
24 – 31,1411-j-j-1-1jj1-1-jj-11j-j,1411-j-j-1-1jjj-j1-1-jj-11,1411-j1-11j11-1-j-1-1-1j-1,1411-j1-11j1j-j1-j-j-j-1-j,1411-jj-1-1j-j1-1-j-j-11jj,1411-jj-1-1j-jj-j11-jj-1-1,1411-j-1-11j-11-1-j1-1-1j1,1411-j-1-11j-1j-j1j-j-j-1j
