TPMI index,Intermediate precoder matrix (ordered from left to right in increasing order of TPMI index)W',,,,,,,
0 – 7,14111111111-11-11-11-1,1411111111j-jj-jj-jj-j,1411111-11-11-11-11111,1411111-11-1j-jj-jjjjj,14111-1111-11-1111-111,14111-1111-1j-jjjj-jjj,14111-11-1111-111111-1,14111-11-111j-jjjjjj-j
8 – 15,1411-1-111-1-11-1-111-1-11,1411-1-111-1-1j-j-jjj-j-jj,1411-1-11-1-111-1-1111-1-1,1411-1-11-1-11j-j-jjjj-j-j,1411-1111-111-1-1-11-1-1-1,1411-1111-11j-j-j-jj-j-j-j,1411-111-1-1-11-1-1-111-11,1411-111-1-1-1j-j-j-jjj-jj
16 – 23,141111-1-1-1-11-11-1-11-11,141111-1-1-1-1j-jj-j-jj-jj,141111-11-111-11-1-1-1-1-1,141111-11-11j-jj-j-j-j-j-j,14111-1-1-1-111-111-11-1-1,14111-1-1-1-11j-jjj-jj-j-j,14111-1-11-1-11-111-1-1-11,14111-1-11-1-1j-jjj-j-j-jj
24 – 31,1411-1-1-1-1111-1-11-111-1,1411-1-1-1-111j-j-jj-jjj-j,1411-1-1-111-11-1-11-1-111,1411-1-1-111-1j-j-jj-j-jjj,1411-11-1-11-11-1-1-1-1111,1411-11-1-11-1j-j-j-j-jjjj,1411-11-11111-1-1-1-1-11-1,1411-11-1111j-j-j-j-j-jj-j
