in symbolsld,DM-RS positions,,,,,,,
,PDSCH mapping type A,,,,PDSCH mapping type B,,,
,dmrs-AdditionalPosition,,,,dmrs-AdditionalPosition,,,
,pos0,pos1,pos2,pos3,pos0,pos1,pos2,pos3
2,-,-,-,-,,,l0,l0
3,,,,,l0,l0,l0,l0
4,,,,,,,l0,l0
5,,,,,l0,"l0,4","l0,4","l0,4"
6,,,,,,,"l0,4","l0,4"
7,,,,,,,"l0,4","l0,4"
8,,", 7",", 7",", 7",l0,"l0, 6","l0,3, 6","l0,3, 6"
9,,", 7",", 7",", 7",l0,"l0,7","l0, 4, 7","l0, 4, 7"
10,,", 9",", 6, 9",", 6, 9",l0,"l0, 7","l0, 4, 7","l0, 4, 7"
11,,", 9",", 6, 9",", 6, 9",l0,"l0, 8","l0, 4, 8","l0, 3, 6, 9"
12,,", 9",", 6, 9",", 5, 8, 11",l0,"l0,9","l0,5, 9","l0, 3, 6, 9"
13,,", l1",", 7, 11",", 5, 8, 11",l0,"l0,9","l0,5, 9","l0, 3, 6, 9"
14,,", l1",", 7, 11",", 5, 8, 11",-,-,-,-
