"PUCCH length,",,,
,No intra-slot hopping,Intra-slot hopping,
,,,
4,2,1,1
5,3,1,2
6,3,2,1
7,4,2,2
8,4,2,2
9,5,2,3
10,5,3,2
11,6,3,3
12,6,3,3
13,7,3,4
14,7,4,3
