TPMI index i,Intermediate precoder matrix W'
0 – 3,"12W1, i02×102×102×1"
4 – 7,"1202×1W1,(i- 4)02×102×1"
8 – 11,"1202×102×1W1,(i-8)02×1"
12 – 15,"1202×102×102×1W1,(i- 12)"
16,12211111111
