TPMI index i,Intermediate precoder matrix W'
0 – 1,"12W2, i02×202×202×2"
2 – 3,"1202×2W2,(i- 2)02×202×2"
4 – 5,"1202×202×2W2,(i-4)02×2"
6 – 7,"1202×202×202×2W2,(i- 6)"
8 – 23,"12W1,(i-8)402×102×1W1,i mod 402×102×102×102×1"
24 – 39,"12W1,(i-24)402×102×102×102×1W1,i mod 402×102×1"
40 – 55,"12W1,(i-40)402×102×102×102×102×102×1W1,i mod 4"
56 – 71,"1202×102×1W1,(i-56)402×102×1W1,i mod 402×102×1"
72 – 87,"1202×102×1W1,(i-72)402×102×102×102×1W1,i mod 4"
88 – 103,"1202×102×102×102×1W1,(i-88)402×102×1W1,i mod 4"
104,1221111000000001111
