Index i,μ=0,,μ=1,,μ=2,
,Ci,Δi,Ci,Δi,Ci,Δi
0,-,-,-,-,-,-
1,1,16∙10-6,1,16∙10-6,1,16∙10-6
2,1,25∙10-6,1,25∙10-6,2,16∙10-6
3,1,34∙10-6,2,16∙10-6,2,25∙10-6
4,1,43∙10-6,2,25∙10-6,reserved,reserved
5,1,52∙10-6,2,34∙10-6,reserved,reserved
6,1,61∙10-6,2,43∙10-6,reserved,reserved
7,reserved,reserved,2,52∙10-6,reserved,reserved
8,reserved,reserved,2,61∙10-6,reserved,reserved
