KTC,"koffset0, …, koffsetNsymbSRS-1",,,,
,NsymbSRS=1,NsymbSRS=2,NsymbSRS=4,NsymbSRS=8,NsymbSRS=12
2,0,"0,1","0,1,0,1",-,-
4,-,"0, 2","0, 2, 1, 3","0, 2, 1, 3, 0, 2, 1, 3","0, 2, 1, 3, 0, 2, 1, 3, 0, 2, 1, 3"
8,-,-,"0, 4, 2, 6","0, 4, 2, 6, 1, 5, 3, 7","0, 4, 2, 6, 1, 5, 3, 7, 0, 4, 2, 6"
