TPMI index i,Intermediate precoder matrix W'
0 – 7,"12W2,i402×202×202×2W2,i mod 4202×202×202×2W2,i mod 202×202×202×2"
8 – 15,"12W2,(i-8)402×202×202×202×202×202×2W2,i mod 4202×202×202×2W2,i mod 2"
16 – 79,"12W2,(i-16)3202×102×202×102×2W1,i-16mod 32802×202×102×202×1W2,i mod 8402×102×202×102×2W1,i mod 4"
